New Run at  08/09/2018 10:09:46
, Time, RandomReward; dLinUCB_Likelihood_UniformReward, ClusterID;UserID;dLinUCB_Likelihood_UniformModelUsed,
data,1238536800000,0;7;0.0,0;1;1
data,1238536800000,0;39;0.0,0;1;1
data,1238536800000,0;60;0.0,0;1;1
data,1238536800000,0;92;0.0,0;1;1
data,1238536800000,0;112;0.0,0;1;1
data,1241128800000,0;133;0.0,0;1;1
data,1241128800000,0;153;0.0,0;1;1
data,1241128800000,0;188;0.0,0;1;1
data,1241128800000,0;215;0.0,0;1;1
data,1241128800000,0;245;0.0,0;1;1
data,1233442800000,0;259;0.0,0;2;1
data,1233442800000,0;288;0.0,0;2;1
data,1233442800000,0;312;0.0,0;2;1
data,1233442800000,0;338;0.0,0;2;1
data,1235862000000,0;353;0.0,0;2;1
data,1235862000000,0;391;0.0,0;2;1
data,1235862000000,0;401;0.0,0;2;1
data,1246399200000,0;431;0.0,0;2;1
data,1246399200000,0;451;0.0,0;2;1
data,1246399200000,0;488;0.0,0;2;1
data,1249077600000,0;506;0.0,0;2;1
data,1249077600000,0;517;0.0,0;2;1
data,1251756000000,0;310;0.0,0;2;1
data,1251756000000,0;561;0.0,0;2;1
data,1251756000000,0;592;0.0,0;2;1
data,1251756000000,0;603;0.0,0;2;1
data,1254348000000,0;630;0.0,0;2;1
data,1254348000000,0;666;0.0,0;2;1
data,1254348000000,0;683;0.0,0;2;1
data,1257030000000,0;694;0.0,0;2;1
data,1264978800000,0;724;0.0,0;2;1
data,1264978800000,0;760;0.0,0;2;1
data,1264978800000,0;771;0.0,0;2;1
data,1264978800000,0;787;0.0,0;2;1
data,1267398000000,0;828;0.0,0;2;1
data,1267398000000,0;842;0.0,0;2;1
data,1272664800000,0;873;0.0,0;2;1
data,1280613600000,0;888;0.0,0;2;1
data,1280613600000,0;920;0.0,0;2;1
data,1280613600000,0;929;0.0,0;2;1
data,1280613600000,0;85;0.0,0;2;1
data,1283292000000,0;971;0.0,0;2;1
data,1285884000000,0;997;0.0,0;2;1
data,1288566000000,0;1016;0.0,0;2;1
data,1288566000000,0;1028;0.0,0;2;1
data,1172703600000,0;1058;0.0,0;3;1
data,1172703600000,0;1082;0.0,0;3;1
data,1172703600000,0;1112;0.0,0;3;1
data,1172703600000,0;1129;0.0,0;3;1
data,1172703600000,0;1141;0.0,0;3;1
data,1172703600000,0;1171;0.0,0;3;1
data,1172703600000,0;1204;0.0,0;3;1
data,1175378400000,0;1211;0.0,0;3;1
data,1175378400000,0;1229;1.0,0;3;1
data,1175378400000,0;1270;1.0,0;3;1
data,1175378400000,0;1289;1.0,0;3;1
data,1177970400000,0;1302;1.0,0;3;1
data,1177970400000,0;1334;1.0,0;3;1
data,1177970400000,0;1354;1.0,0;3;1
data,1177970400000,0;1381;1.0,0;3;1
data,1180648800000,0;849;1.0,0;3;1
data,1180648800000,0;916;1.0,0;3;1
