New Run at  07/13/2017 20:13:27
, Time, RandomReward; N_LinUCBReward; 
data,1264978800000,13;2362;37
data,1264978800000,13;3919;37
data,1264978800000,13;3481;37
data,1264978800000,13;3945;37
data,1264978800000,13;1798;37
data,1264978800000,13;1785;37
data,1264978800000,13;1572;38
data,1264978800000,13;4014;38
data,1264978800000,13;4037;38
data,1264978800000,13;4053;38
data,1264978800000,13;4073;38
data,1264978800000,13;323;39
data,1264978800000,13;4110;39
data,1264978800000,13;4119;40
data,1264978800000,13;4138;40
data,1264978800000,13;4152;40
data,1264978800000,13;4176;40
data,1264978800000,13;4199;40
data,1264978800000,13;3537;41
data,1264978800000,13;285;41
data,1264978800000,13;4258;41
data,1264978800000,13;4267;41
data,1264978800000,13;2742;41
data,1264978800000,13;4306;41
data,1264978800000,13;4320;41
data,1264978800000,13;3119;41
data,1264978800000,13;890;41
data,1264978800000,13;4371;41
data,1264978800000,13;3154;41
data,1264978800000,13;4392;41
data,1264978800000,13;2049;41
data,1264978800000,13;4424;41
data,1264978800000,13;4430;42
data,1264978800000,13;4443;43
data,1264978800000,13;4458;44
data,1264978800000,13;1284;44
data,1264978800000,13;4495;45
data,1264978800000,13;2828;46
data,1264978800000,13;4536;46
data,1264978800000,13;4545;47
data,1264978800000,13;3200;47
data,1264978800000,13;4586;47
data,1264978800000,13;4597;47
data,1264978800000,13;2286;47
data,1264978800000,13;4271;47
data,1264978800000,13;3797;47
data,1264978800000,13;4656;48
data,1264978800000,13;4679;48
data,1264978800000,13;4690;49
data,1264978800000,13;4715;49
data,1264978800000,13;1058;49
data,1264978800000,13;4742;49
data,1264978800000,13;4751;50
data,1264978800000,13;2241;51
data,1264978800000,13;4780;52
data,1264978800000,13;3822;52
data,1264978800000,13;4813;52
data,1264978800000,13;2317;52
data,1264978800000,13;4852;52
data,1264978800000,13;3377;52
data,1264978800000,13;4876;52
data,1264978800000,13;4891;52
data,1264978800000,13;4902;52
data,1264978800000,13;596;52
data,1264978800000,13;1236;53
data,1264978800000,13;614;53
data,1264978800000,13;4959;53
data,1264978800000,13;1695;53
data,1264978800000,13;105;53
data,1264978800000,13;5007;54
data,1264978800000,13;3124;54
data,1264978800000,13;2529;55
data,1264978800000,13;5054;55
data,1264978800000,13;5064;56
data,1264978800000,13;1688;56
data,1264978800000,13;3099;56
data,1264978800000,13;5114;56
data,1264978800000,13;5134;56
data,1264978800000,13;5146;56
data,1264978800000,13;5164;56
data,1264978800000,13;3148;56
data,1264978800000,13;1597;56
data,1264978800000,14;3747;56
data,1264978800000,14;2867;57
data,1264978800000,14;5245;57
data,1264978800000,14;5247;58
data,1264978800000,15;4456;58
data,1264978800000,15;916;58
data,1264978800000,15;310;58
data,1264978800000,15;5301;59
data,1264978800000,15;5314;59
data,1264978800000,15;2420;59
data,1264978800000,15;3484;59
data,1264978800000,15;5378;59
data,1264978800000,15;5386;59
data,1264978800000,15;5405;59
data,1264978800000,15;2789;60
data,1264978800000,15;3403;60
data,1264978800000,16;5450;60
data,1264978800000,16;5460;60
data,1264978800000,16;458;60
data,1264978800000,16;5487;61
data,1264978800000,16;2093;61
data,1264978800000,16;5526;61
data,1264978800000,16;5535;61
data,1264978800000,17;4023;61
data,1264978800000,17;2286;61
data,1264978800000,17;5571;62
data,1264978800000,17;5588;63
data,1264978800000,17;3045;64
data,1264978800000,17;5622;64
data,1264978800000,17;5642;64
data,1264978800000,17;5656;64
data,1264978800000,17;5661;64
data,1264978800000,17;5673;64
data,1264978800000,17;5105;64
data,1264978800000,17;5689;65
data,1264978800000,17;2646;66
data,1264978800000,17;5720;66
data,1264978800000,17;5732;66
data,1264978800000,17;5752;66
data,1264978800000,17;5763;66
data,1267398000000,17;5769;67
data,1267398000000,17;5256;67
data,1267398000000,17;327;67
data,1267398000000,17;5810;67
data,1267398000000,17;11;68
data,1267398000000,17;593;68
data,1267398000000,18;4461;68
data,1267398000000,18;5856;68
data,1267398000000,18;4972;69
data,1267398000000,18;5879;69
data,1267398000000,18;5897;69
data,1267398000000,18;5913;69
data,1270072800000,18;5915;70
data,1270072800000,18;1657;70
data,1272664800000,18;5946;70
data,1272664800000,18;3045;71
