New Run at  07/13/2017 20:13:27
, Time, RandomReward; N_LinUCBReward; 
data,1191189600000,338;151;3262
data,1191189600000,338;728;3262
data,1193871600000,338;8762;3262
data,1193871600000,338;10776;3262
data,1193871600000,338;2329;3262
data,1193871600000,338;2226;3262
data,1193871600000,338;4434;3262
data,1193871600000,339;3125;3262
data,1193871600000,339;1020;3262
data,1193871600000,339;4418;3262
data,1193871600000,339;4998;3262
data,1193871600000,339;12136;3262
data,1193871600000,339;6413;3262
data,1193871600000,339;1092;3262
data,1193871600000,339;5897;3263
data,1193871600000,339;5942;3264
data,1193871600000,339;1058;3265
data,1193871600000,339;12079;3265
data,1193871600000,339;4574;3265
data,1193871600000,339;11379;3266
data,1193871600000,339;2279;3266
data,1193871600000,339;6705;3266
data,1193871600000,339;10375;3266
data,1193871600000,339;7264;3266
data,1193871600000,339;1482;3266
data,1193871600000,339;5735;3266
data,1193871600000,339;7944;3266
data,1193871600000,339;1550;3266
data,1193871600000,339;11536;3266
data,1193871600000,339;7409;3266
data,1193871600000,339;5801;3266
data,1193871600000,339;7085;3266
data,1193871600000,339;4344;3266
data,1193871600000,339;755;3267
data,1193871600000,339;7224;3267
data,1193871600000,339;5404;3267
data,1193871600000,339;10737;3267
data,1193871600000,339;8758;3267
data,1193871600000,339;2938;3267
data,1193871600000,339;1864;3267
data,1193871600000,339;3360;3267
data,1193871600000,339;8081;3267
data,1193871600000,339;5460;3267
data,1193871600000,339;6303;3267
data,1193871600000,339;6937;3267
data,1193871600000,340;12003;3267
data,1193871600000,340;7234;3267
data,1193871600000,340;2775;3267
data,1193871600000,341;4324;3267
data,1193871600000,341;4887;3267
data,1193871600000,341;5732;3267
data,1193871600000,341;7371;3267
data,1193871600000,341;10126;3267
data,1193871600000,341;2056;3268
data,1193871600000,341;3954;3269
data,1193871600000,341;6681;3270
data,1193871600000,341;1193;3270
data,1193871600000,341;9302;3271
data,1193871600000,341;3949;3271
data,1193871600000,341;8259;3271
data,1193871600000,341;6907;3271
data,1193871600000,341;7725;3271
data,1193871600000,342;640;3271
data,1193871600000,342;3874;3271
data,1193871600000,342;11832;3272
data,1193871600000,343;4737;3272
data,1193871600000,343;5735;3272
data,1193871600000,343;10683;3272
data,1193871600000,343;293;3272
data,1193871600000,343;2311;3272
data,1193871600000,343;9727;3272
data,1193871600000,343;3276;3272
data,1193871600000,343;9283;3272
data,1193871600000,343;3512;3273
data,1193871600000,343;12380;3273
data,1193871600000,343;8880;3273
data,1193871600000,343;4545;3273
data,1193871600000,343;5689;3274
data,1193871600000,343;1728;3274
data,1193871600000,343;3327;3274
data,1193871600000,343;8041;3274
data,1193871600000,344;12235;3274
data,1193871600000,344;1051;3275
data,1193871600000,344;11490;3275
data,1193871600000,344;7409;3275
data,1193871600000,344;11580;3276
data,1193871600000,344;10109;3277
data,1193871600000,344;8880;3277
data,1193871600000,344;9331;3277
data,1193871600000,344;4566;3277
data,1193871600000,344;2272;3277
data,1193871600000,344;10462;3277
data,1193871600000,344;12075;3278
data,1193871600000,344;9178;3278
data,1193871600000,344;12474;3278
data,1193871600000,344;306;3278
data,1193871600000,344;3341;3278
data,1193871600000,344;6307;3279
data,1193871600000,344;5705;3279
data,1193871600000,344;7643;3279
data,1193871600000,344;11518;3279
data,1193871600000,344;5187;3279
data,1193871600000,344;7441;3279
data,1193871600000,344;7480;3279
data,1193871600000,344;11366;3280
data,1193871600000,344;4854;3281
data,1193871600000,344;10727;3281
data,1193871600000,344;8440;3281
data,1193871600000,344;7258;3281
data,1193871600000,344;5674;3281
data,1193871600000,344;1970;3281
data,1193871600000,344;11065;3281
data,1193871600000,344;11308;3281
data,1193871600000,344;4436;3282
data,1193871600000,344;7226;3282
data,1193871600000,344;347;3283
data,1193871600000,344;4009;3284
data,1193871600000,344;1590;3284
data,1193871600000,344;6575;3284
data,1193871600000,344;9614;3284
data,1193871600000,344;11769;3285
data,1193871600000,344;7402;3285
data,1193871600000,344;3563;3285
data,1193871600000,344;11419;3285
data,1193871600000,344;7088;3286
data,1193871600000,344;4911;3286
data,1193871600000,344;6306;3286
data,1193871600000,345;5187;3286
data,1193871600000,345;5487;3286
data,1193871600000,345;4010;3286
data,1193871600000,345;2580;3286
data,1193871600000,345;5384;3286
data,1193871600000,345;4141;3286
data,1193871600000,345;8294;3286
data,1193871600000,345;10196;3286
data,1193871600000,345;7127;3286
data,1193871600000,345;11441;3286
data,1193871600000,346;7147;3286
data,1193871600000,346;6340;3286
data,1193871600000,346;9020;3286
data,1196463600000,346;9781;3287
data,1196463600000,346;8724;3287
data,1196463600000,346;8180;3287
data,1196463600000,346;5592;3287
data,1196463600000,346;7153;3287
data,1196463600000,346;10113;3287
data,1196463600000,346;7460;3287
data,1196463600000,346;89;3287
data,1212271200000,346;9983;3287
data,1222812000000,346;7855;3287
data,1222812000000,346;12378;3287
data,1222812000000,346;4138;3287
data,1222812000000,346;6306;3287
data,1222812000000,346;8866;3287
data,1222812000000,346;513;3287
data,1222812000000,347;7391;3287
data,1222812000000,347;1058;3288
data,1222812000000,347;2359;3288
data,1222812000000,347;9616;3288
data,1222812000000,347;6537;3289
data,1222812000000,347;7264;3289
data,1222812000000,347;11366;3290
data,1222812000000,347;2565;3291
data,1222812000000,347;1951;3291
data,1222812000000,347;7264;3291
data,1222812000000,347;2237;3291
data,1222812000000,347;9331;3291
data,1222812000000,347;2077;3292
data,1222812000000,347;12075;3293
data,1222812000000,347;7624;3294
data,1222812000000,347;10799;3294
data,1222812000000,347;10653;3294
data,1222812000000,347;790;3294
data,1222812000000,348;5379;3294
data,1222812000000,348;2044;3294
data,1222812000000,348;2350;3294
data,1222812000000,348;916;3294
data,1222812000000,348;3500;3294
data,1222812000000,348;7922;3294
data,1222812000000,348;4972;3294
data,1222812000000,348;3100;3295
data,1222812000000,348;2580;3295
data,1222812000000,348;5552;3296
data,1222812000000,348;1680;3296
data,1222812000000,348;684;3297
data,1222812000000,348;2521;3297
data,1222812000000,348;6181;3297
data,1222812000000,348;9331;3297
data,1222812000000,348;11736;3297
data,1222812000000,348;5371;3298
data,1222812000000,348;2591;3299
data,1222812000000,348;12149;3299
data,1222812000000,348;6353;3300
data,1222812000000,348;3201;3300
data,1222812000000,348;2753;3300
data,1222812000000,348;10938;3300
data,1222812000000,348;5143;3300
data,1222812000000,348;7802;3300
data,1222812000000,348;4854;3301
data,1222812000000,348;6622;3302
data,1225494000000,348;9331;3302
data,1225494000000,348;10968;3302
data,1225494000000,348;7325;3302
data,1225494000000,348;5588;3302
data,1225494000000,348;5781;3302
data,1225494000000,348;7706;3302
data,1225494000000,348;12443;3302
data,1225494000000,348;4368;3302
data,1225494000000,348;6248;3303
data,1225494000000,348;10145;3303
data,1225494000000,348;7854;3303
data,1225494000000,348;3666;3303
data,1225494000000,348;10386;3303
data,1225494000000,348;5487;3303
data,1225494000000,348;9316;3303
data,1225494000000,348;12363;3303
data,1225494000000,348;7620;3303
data,1225494000000,348;4662;3303
data,1225494000000,348;6477;3303
data,1225494000000,348;3133;3303
data,1225494000000,348;8081;3303
data,1225494000000,349;10660;3304
data,1225494000000,349;8081;3304
data,1225494000000,349;9035;3304
data,1225494000000,349;3233;3304
data,1225494000000,349;5391;3304
data,1225494000000,349;7525;3304
data,1225494000000,349;1638;3305
data,1225494000000,349;9937;3306
data,1225494000000,349;11092;3306
data,1225494000000,349;10604;3306
data,1225494000000,349;8294;3306
data,1225494000000,349;1696;3306
data,1225494000000,349;4058;3306
data,1225494000000,349;1285;3306
data,1225494000000,349;4436;3307
data,1228086000000,349;1680;3307
data,1228086000000,349;4368;3307
data,1228086000000,349;10484;3307
data,1228086000000,349;506;3307
data,1228086000000,349;12333;3307
data,1233442800000,349;12499;3307
data,1235862000000,350;8604;3307
data,1235862000000,350;6381;3307
data,1235862000000,350;10113;3307
data,1235862000000,350;6036;3307
data,1238536800000,350;5098;3307
data,1238536800000,350;9415;3308
data,1238536800000,350;8890;3308
data,1243807200000,350;327;3308
data,1243807200000,350;4817;3308
data,1254348000000,350;9974;3308
data,1259622000000,350;10337;3308
data,1259622000000,350;9743;3308
data,1262300400000,350;137;3308
data,1272664800000,350;6359;3308
data,1272664800000,350;10240;3308
data,1272664800000,350;6201;3308
data,1272664800000,350;9474;3308
data,1272664800000,350;12372;3308
data,1272664800000,350;7862;3308
data,1277935200000,350;344;3308
data,1283292000000,350;10604;3308
data,1283292000000,350;2311;3308
data,1283292000000,350;4545;3308
data,1283292000000,350;10531;3308
data,1283292000000,350;9020;3308
data,1283292000000,350;6491;3308
data,1283292000000,350;11669;3308
data,1283292000000,350;318;3308
data,1285884000000,350;9903;3308
data,1285884000000,350;1465;3308
data,1285884000000,350;9782;3308
data,1285884000000,350;1228;3308
data,1122847200000,350;458;3308
data,1122847200000,350;3190;3309
data,1122847200000,350;11902;3310
data,1122847200000,350;7650;3310
data,1122847200000,350;3144;3311
data,1122847200000,350;516;3312
data,1122847200000,350;8375;3312
data,1122847200000,350;8531;3312
data,1122847200000,350;2774;3312
data,1122847200000,350;5930;3312
data,1122847200000,350;684;3312
data,1122847200000,350;3175;3312
data,1122847200000,350;11420;3312
data,1122847200000,350;2127;3312
data,1122847200000,350;4876;3312
data,1122847200000,350;4360;3313
data,1122847200000,350;1586;3313
data,1122847200000,350;3507;3313
data,1122847200000,350;1476;3314
data,1122847200000,350;6476;3314
data,1122847200000,350;12219;3314
data,1122847200000,350;888;3315
data,1122847200000,350;7821;3315
data,1122847200000,350;5213;3316
data,1122847200000,350;8637;3317
data,1122847200000,350;7397;3318
data,1122847200000,350;10851;3318
data,1122847200000,350;4076;3318
data,1122847200000,350;1583;3318
data,1122847200000,350;1020;3319
data,1122847200000,350;7472;3320
data,1122847200000,350;10413;3321
data,1122847200000,351;4717;3321
data,1122847200000,351;1744;3322
data,1122847200000,351;9141;3323
data,1122847200000,351;9905;3323
data,1122847200000,351;1531;3323
data,1122847200000,352;3880;3323
data,1122847200000,352;5760;3323
data,1122847200000,352;7252;3323
data,1122847200000,352;8589;3323
data,1122847200000,352;10709;3323
data,1122847200000,352;12520;3324
data,1122847200000,352;2349;3325
data,1122847200000,352;3235;3326
data,1122847200000,352;12432;3326
data,1122847200000,352;8011;3327
data,1122847200000,352;8413;3328
data,1122847200000,352;3913;3328
data,1122847200000,352;7594;3329
data,1122847200000,352;11465;3330
data,1122847200000,352;11641;3330
data,1122847200000,352;11480;3330
data,1122847200000,352;11021;3330
data,1122847200000,352;9653;3331
data,1122847200000,352;471;3332
data,1122847200000,352;12190;3332
data,1122847200000,352;4131;3332
data,1122847200000,352;10541;3332
data,1122847200000,352;1205;3333
data,1122847200000,352;7566;3334
data,1122847200000,352;10238;3334
data,1122847200000,352;4831;3335
data,1122847200000,352;2136;3335
data,1122847200000,352;8091;3335
data,1122847200000,352;5307;3335
data,1122847200000,352;3015;3336
data,1122847200000,352;6675;3337
data,1122847200000,352;9063;3338
data,1122847200000,352;10615;3338
data,1122847200000,352;7624;3339
data,1122847200000,352;3945;3339
data,1122847200000,352;6131;3339
data,1122847200000,352;757;3340
data,1122847200000,352;6993;3340
data,1122847200000,352;6724;3341
data,1122847200000,352;10760;3341
data,1122847200000,352;1639;3342
data,1122847200000,353;10856;3343
data,1122847200000,353;9966;3344
data,1122847200000,353;6720;3345
data,1122847200000,353;10699;3346
data,1122847200000,353;5572;3346
data,1122847200000,353;1528;3347
data,1122847200000,353;8788;3347
data,1122847200000,353;9695;3348
data,1122847200000,353;1601;3349
data,1122847200000,353;920;3349
data,1122847200000,353;2196;3350
data,1122847200000,353;12381;3351
data,1122847200000,353;2753;3352
data,1122847200000,353;0;3353
data,1122847200000,353;4706;3353
data,1122847200000,353;6667;3354
data,1122847200000,353;4327;3355
data,1122847200000,353;12148;3355
data,1122847200000,353;11634;3355
data,1122847200000,354;9856;3356
data,1122847200000,354;6940;3357
data,1122847200000,354;7605;3358
data,1122847200000,354;5729;3358
data,1122847200000,354;9878;3358
data,1122847200000,354;6764;3359
data,1122847200000,354;3014;3360
data,1122847200000,354;9785;3360
data,1122847200000,354;7140;3361
data,1122847200000,354;7599;3361
data,1122847200000,354;1709;3362
data,1122847200000,354;3566;3363
data,1122847200000,354;8880;3364
data,1122847200000,354;12340;3365
data,1122847200000,354;11253;3365
data,1122847200000,354;10696;3365
data,1122847200000,354;10983;3365
data,1122847200000,354;5490;3366
data,1122847200000,354;10601;3367
data,1122847200000,354;3442;3368
data,1122847200000,354;7160;3369
data,1122847200000,354;5795;3370
data,1122847200000,354;3134;3371
data,1122847200000,355;5942;3371
data,1122847200000,355;7735;3372
data,1122847200000,355;2366;3373
data,1122847200000,356;8041;3373
data,1122847200000,356;7544;3373
data,1122847200000,356;2266;3374
data,1122847200000,357;10602;3375
data,1122847200000,357;7644;3375
data,1122847200000,357;11657;3376
data,1122847200000,357;5314;3377
data,1122847200000,357;2062;3378
data,1122847200000,357;1397;3379
data,1122847200000,357;4974;3380
data,1122847200000,357;179;3380
data,1122847200000,357;8355;3381
data,1122847200000,357;8110;3382
data,1122847200000,357;1508;3382
data,1122847200000,357;1886;3382
data,1122847200000,357;1236;3382
data,1122847200000,357;2181;3383
data,1122847200000,357;8091;3383
data,1122847200000,358;10778;3383
data,1122847200000,358;2337;3383
data,1122847200000,358;2751;3383
data,1122847200000,358;8435;3384
data,1122847200000,358;3695;3385
data,1122847200000,358;11698;3386
data,1122847200000,358;1790;3386
data,1122847200000,358;3554;3387
data,1122847200000,358;1798;3387
data,1122847200000,358;96;3387
data,1122847200000,358;7883;3387
data,1122847200000,358;1350;3388
data,1122847200000,358;824;3388
data,1122847200000,358;3151;3389
data,1122847200000,358;4962;3389
data,1122847200000,358;9837;3390
data,1122847200000,358;7062;3390
data,1122847200000,358;11109;3391
data,1122847200000,358;2559;3391
data,1122847200000,358;7599;3391
data,1122847200000,358;221;3391
data,1122847200000,358;7406;3392
data,1122847200000,358;9816;3392
data,1122847200000,358;9190;3393
data,1122847200000,358;11638;3393
data,1122847200000,359;10126;3393
data,1122847200000,359;6644;3394
data,1122847200000,359;1960;3395
data,1122847200000,359;6034;3395
data,1122847200000,359;10949;3395
data,1122847200000,359;4165;3396
data,1122847200000,359;4497;3397
data,1122847200000,359;9370;3398
data,1122847200000,360;10768;3398
data,1122847200000,360;7754;3399
data,1122847200000,360;12054;3399
data,1122847200000,360;4041;3400
data,1122847200000,360;7495;3401
data,1122847200000,360;9412;3401
data,1122847200000,360;11390;3402
data,1122847200000,361;10107;3403
data,1122847200000,361;4323;3403
data,1122847200000,361;1302;3404
data,1122847200000,361;3868;3404
data,1122847200000,361;1253;3405
data,1122847200000,361;10756;3405
data,1122847200000,361;5105;3405
data,1122847200000,361;948;3405
data,1122847200000,361;2927;3406
data,1122847200000,361;3727;3407
data,1122847200000,361;5294;3408
data,1122847200000,361;6402;3409
data,1122847200000,361;3503;3409
data,1122847200000,361;10804;3410
data,1122847200000,361;2529;3410
data,1122847200000,361;923;3411
data,1122847200000,361;8662;3412
data,1122847200000,361;322;3413
data,1122847200000,361;1564;3414
data,1122847200000,361;2991;3415
data,1122847200000,361;1305;3416
data,1122847200000,361;3275;3416
data,1122847200000,361;10295;3417
data,1122847200000,361;6922;3418
data,1122847200000,362;7716;3419
data,1122847200000,362;4933;3420
data,1122847200000,362;1681;3420
data,1122847200000,362;6558;3420
data,1122847200000,362;2376;3420
data,1122847200000,362;8971;3420
data,1122847200000,362;4551;3421
data,1122847200000,362;11693;3422
data,1122847200000,363;4200;3423
data,1122847200000,363;4531;3424
data,1122847200000,363;2478;3425
data,1122847200000,363;11927;3425
data,1122847200000,363;3688;3426
data,1122847200000,363;5693;3427
data,1122847200000,363;10457;3428
data,1122847200000,363;8375;3428
data,1122847200000,363;269;3429
data,1122847200000,363;2350;3430
data,1122847200000,364;8457;3430
data,1122847200000,364;9763;3431
data,1122847200000,364;5192;3432
data,1122847200000,365;6345;3432
data,1122847200000,365;5153;3433
data,1122847200000,365;6456;3434
data,1122847200000,365;11638;3434
data,1125525600000,365;4410;3434
data,1125525600000,365;9662;3435
data,1125525600000,365;4443;3435
data,1125525600000,365;4568;3435
data,1125525600000,365;2662;3435
data,1125525600000,365;5814;3436
data,1128117600000,365;6999;3437
data,1128117600000,365;691;3437
data,1128117600000,365;2507;3438
data,1128117600000,365;6866;3439
data,1128117600000,365;4176;3440
data,1128117600000,365;4958;3440
data,1128117600000,365;7963;3441
data,1128117600000,365;5897;3442
data,1128117600000,365;11535;3442
data,1128117600000,365;10460;3443
data,1128117600000,366;4569;3444
data,1128117600000,366;7062;3444
data,1128117600000,366;7958;3444
data,1128117600000,366;10799;3444
data,1128117600000,366;11831;3444
data,1128117600000,366;1259;3445
data,1128117600000,366;3836;3446
data,1128117600000,367;6242;3447
data,1128117600000,367;8416;3447
data,1128117600000,367;2738;3448
data,1128117600000,367;7775;3448
data,1128117600000,367;4069;3449
data,1133391600000,367;7430;3449
data,1133391600000,367;8287;3450
data,1133391600000,367;6340;3450
data,1133391600000,367;2027;3450
data,1133391600000,367;2159;3451
data,1133391600000,367;4962;3451
data,1133391600000,367;4215;3451
data,1133391600000,367;8580;3452
data,1136070000000,367;11169;3452
data,1136070000000,367;2182;3452
data,1136070000000,368;3625;3452
data,1136070000000,368;824;3452
data,1136070000000,368;7865;3453
data,1136070000000,369;346;3453
data,1136070000000,369;10760;3453
data,1136070000000,369;5943;3454
data,1136070000000,369;9693;3454
data,1136070000000,369;1429;3454
data,1136070000000,369;4521;3455
data,1138748400000,369;12292;3456
data,1138748400000,369;2951;3456
data,1138748400000,369;2951;3456
data,1138748400000,369;1197;3456
data,1138748400000,369;8863;3456
data,1138748400000,369;9835;3456
data,1138748400000,369;2284;3456
data,1138748400000,369;11362;3456
data,1138748400000,369;7907;3456
data,1138748400000,369;10890;3456
data,1138748400000,369;11634;3456
data,1138748400000,369;10049;3457
data,1138748400000,369;1562;3457
data,1138748400000,369;8616;3458
data,1138748400000,369;6109;3458
data,1138748400000,369;1904;3458
data,1138748400000,369;3118;3458
data,1138748400000,369;9048;3458
data,1138748400000,369;422;3459
data,1138748400000,369;11519;3459
data,1138748400000,369;1984;3459
data,1138748400000,369;1285;3459
data,1138748400000,369;4454;3459
data,1138748400000,369;530;3459
data,1138748400000,369;2101;3459
data,1138748400000,369;678;3459
data,1138748400000,369;5718;3459
data,1138748400000,369;9243;3460
data,1138748400000,369;7167;3460
data,1138748400000,369;3635;3460
data,1138748400000,369;9708;3460
data,1138748400000,369;244;3461
data,1138748400000,369;8541;3462
data,1138748400000,369;2487;3462
data,1138748400000,369;11559;3462
data,1138748400000,369;11881;3462
data,1138748400000,369;3691;3462
data,1138748400000,369;1586;3462
data,1138748400000,369;4225;3462
data,1138748400000,369;8407;3462
data,1138748400000,369;612;3462
data,1138748400000,369;1784;3462
data,1138748400000,369;1016;3462
data,1138748400000,369;6582;3462
data,1138748400000,369;8042;3463
data,1138748400000,369;9703;3463
data,1138748400000,369;4326;3463
data,1138748400000,369;6147;3463
data,1138748400000,369;4944;3463
data,1138748400000,369;3464;3463
data,1138748400000,369;12004;3464
data,1138748400000,369;9248;3464
data,1138748400000,369;5856;3464
data,1138748400000,369;5856;3464
data,1138748400000,369;2790;3465
data,1138748400000,369;10288;3465
data,1138748400000,369;8363;3465
data,1138748400000,369;10768;3465
data,1138748400000,369;7238;3465
data,1138748400000,369;3867;3466
data,1138748400000,369;11931;3466
data,1141167600000,369;7677;3466
data,1141167600000,369;8941;3466
data,1141167600000,369;8502;3467
data,1141167600000,369;2563;3468
data,1143842400000,369;10903;3468
data,1143842400000,369;6647;3469
data,1143842400000,369;5593;3470
data,1143842400000,369;1281;3470
data,1146434400000,369;6004;3471
data,1149112800000,369;5238;3472
data,1149112800000,369;3738;3473
data,1151704800000,369;6526;3473
data,1151704800000,369;714;3473
data,1151704800000,369;5781;3473
data,1151704800000,369;146;3474
data,1151704800000,369;11638;3474
data,1151704800000,369;7320;3474
data,1151704800000,369;8977;3474
data,1151704800000,369;5178;3474
data,1151704800000,369;9036;3474
data,1151704800000,369;3258;3474
data,1151704800000,370;1483;3474
data,1151704800000,370;10961;3474
data,1151704800000,370;3945;3474
data,1154383200000,370;3998;3474
data,1154383200000,370;767;3475
data,1154383200000,371;1853;3475
data,1154383200000,371;1639;3476
data,1154383200000,371;1219;3477
data,1154383200000,371;4453;3477
data,1154383200000,371;1088;3477
data,1154383200000,371;6920;3477
data,1154383200000,371;168;3477
data,1154383200000,371;5260;3478
data,1154383200000,371;1843;3479
data,1154383200000,371;7151;3480
data,1154383200000,371;9799;3480
data,1154383200000,371;7900;3480
data,1154383200000,371;8037;3480
data,1154383200000,371;4163;3480
data,1154383200000,371;5358;3480
data,1222812000000,371;12109;3480
data,1291158000000,371;11898;3481
data,1291158000000,371;11690;3481
data,1291158000000,371;6480;3481
data,1293836400000,371;11451;3481
data,1293836400000,371;96;3481
data,1293836400000,371;8419;3482
data,1298934000000,371;5315;3482
data,1298934000000,371;12466;3482
data,1298934000000,371;2887;3482
data,1298934000000,371;1586;3482
data,1298934000000,371;11410;3482
data,1298934000000,371;9065;3482
data,1298934000000,371;76;3482
data,1304689628138,371;10709;3482
data,1304689628135,371;11902;3483
data,1304689628141,371;1562;3483
data,1304689628147,371;9254;3483
data,1304689628145,371;6021;3483
data,1304689628133,371;10863;3483
data,1304689628136,371;4542;3483
data,1204326000000,371;7243;3483
data,1204326000000,371;9234;3483
data,1204326000000,371;920;3483
data,1204326000000,371;1079;3483
data,1204326000000,371;7133;3483
data,1204326000000,371;3482;3483
data,1204326000000,371;8438;3483
data,1204326000000,371;389;3483
data,1204326000000,372;2801;3484
data,1204326000000,372;7746;3484
data,1207000800000,372;9903;3485
data,1207000800000,372;3005;3485
data,1207000800000,372;10109;3486
data,1207000800000,372;9626;3487
data,1207000800000,372;7229;3488
data,1207000800000,372;347;3489
data,1207000800000,372;6622;3490
data,1207000800000,372;10489;3491
data,1207000800000,372;2207;3492
data,1207000800000,372;237;3493
data,1207000800000,372;6575;3494
data,1207000800000,372;11215;3495
data,1207000800000,372;8527;3496
data,1207000800000,372;873;3497
data,1207000800000,372;12503;3497
data,1209592800000,372;306;3497
data,1209592800000,372;3422;3497
data,1209592800000,372;6713;3498
data,1209592800000,372;3982;3498
data,1209592800000,372;1059;3499
data,1209592800000,372;12480;3499
data,1212271200000,372;10489;3500
data,1212271200000,372;7024;3500
data,1212271200000,372;10361;3500
data,1212271200000,372;11477;3500
data,1214863200000,372;12396;3500
data,1217541600000,372;1951;3500
data,1217541600000,372;10086;3501
data,1217541600000,372;10274;3502
data,1217541600000,372;683;3502
data,1220220000000,372;11092;3502
data,1222812000000,372;7085;3503
data,1222812000000,373;7085;3504
data,1222812000000,374;9014;3504
data,1222812000000,375;8655;3505
data,1222812000000,376;6411;3506
data,1222812000000,376;9148;3506
data,1225494000000,376;3563;3507
data,1225494000000,376;12401;3508
data,1225494000000,377;3495;3508
data,1228086000000,377;6878;3508
data,1228086000000,377;989;3508
data,1228086000000,377;8641;3509
data,1230764400000,377;2001;3509
data,1230764400000,377;205;3510
data,1230764400000,377;3763;3510
data,1230764400000,377;9237;3510
data,1230764400000,377;10351;3510
data,1230764400000,377;272;3511
data,1230764400000,377;4817;3511
data,1230764400000,377;1663;3512
data,1230764400000,377;10276;3512
data,1230764400000,377;4064;3513
data,1230764400000,377;5110;3513
data,1230764400000,377;6186;3513
data,1230764400000,377;1642;3514
data,1230764400000,377;7068;3515
data,1230764400000,377;2396;3515
data,1233442800000,377;7197;3515
data,1233442800000,377;2049;3516
data,1233442800000,377;4621;3516
data,1233442800000,377;873;3517
data,1233442800000,377;9766;3517
data,1233442800000,377;10224;3517
data,1233442800000,377;8812;3517
data,1233442800000,377;3044;3517
data,1233442800000,377;6289;3518
data,1233442800000,377;9020;3518
data,1233442800000,377;678;3518
data,1233442800000,377;7306;3519
data,1233442800000,377;1137;3519
data,1233442800000,377;2680;3520
data,1233442800000,377;4073;3520
data,1233442800000,377;8800;3520
data,1233442800000,377;11856;3521
data,1233442800000,377;10386;3522
data,1233442800000,377;9269;3522
data,1233442800000,377;6762;3523
data,1233442800000,377;1396;3524
data,1233442800000,377;6277;3524
data,1233442800000,377;4817;3524
data,1233442800000,377;4911;3524
data,1233442800000,377;4860;3524
data,1233442800000,377;2580;3525
data,1233442800000,377;4053;3525
data,1233442800000,377;2;3526
data,1233442800000,377;9323;3526
data,1233442800000,377;2608;3526
data,1233442800000,377;9560;3527
data,1233442800000,377;4603;3527
data,1233442800000,377;7414;3527
data,1233442800000,377;6830;3528
data,1233442800000,377;3093;3529
data,1233442800000,377;3098;3530
data,1235862000000,377;9267;3530
data,1235862000000,377;7851;3530
data,1235862000000,377;3768;3530
data,1235862000000,377;1628;3531
data,1235862000000,377;8294;3531
data,1235862000000,377;5423;3531
data,1235862000000,377;10758;3531
data,1235862000000,377;6598;3532
data,1235862000000,378;5897;3532
data,1235862000000,378;10165;3532
data,1235862000000,378;8802;3533
data,1235862000000,378;2056;3533
data,1235862000000,378;9692;3533
data,1235862000000,378;1624;3533
data,1235862000000,378;272;3534
data,1235862000000,378;7226;3534
data,1235862000000,378;346;3535
data,1235862000000,378;1032;3536
data,1235862000000,378;12002;3537
data,1235862000000,378;7459;3537
data,1235862000000,378;10531;3537
data,1235862000000,378;5203;3538
data,1235862000000,378;4615;3538
data,1235862000000,378;4732;3539
data,1235862000000,378;1116;3539
data,1238536800000,378;2672;3540
data,1238536800000,378;8180;3540
data,1238536800000,378;124;3541
data,1238536800000,378;8916;3541
data,1238536800000,378;2953;3541
data,1238536800000,378;5391;3542
data,1238536800000,378;347;3543
data,1238536800000,379;10500;3543
data,1238536800000,379;7147;3543
data,1238536800000,379;8890;3543
data,1238536800000,379;2932;3544
data,1238536800000,379;2237;3544
data,1238536800000,379;10150;3544
data,1238536800000,379;9903;3545
data,1238536800000,379;2479;3545
data,1238536800000,379;3432;3546
data,1238536800000,379;6339;3546
data,1238536800000,379;2000;3546
data,1238536800000,379;9333;3546
data,1238536800000,379;5942;3547
data,1238536800000,379;4860;3547
data,1238536800000,379;7947;3547
data,1238536800000,379;1018;3547
data,1238536800000,379;3054;3548
data,1238536800000,379;10276;3548
data,1238536800000,379;12480;3548
data,1238536800000,379;10949;3548
data,1238536800000,379;27;3548
data,1238536800000,379;3024;3549
data,1238536800000,379;6050;3549
data,1238536800000,379;10562;3549
data,1238536800000,379;2808;3549
data,1238536800000,379;9675;3550
data,1238536800000,379;9326;3550
data,1241128800000,379;4902;3550
data,1241128800000,379;7508;3550
data,1241128800000,379;7984;3551
data,1241128800000,379;4987;3551
data,1241128800000,379;7173;3551
data,1241128800000,379;2608;3551
data,1241128800000,379;3702;3552
data,1241128800000,379;7112;3552
data,1241128800000,379;4270;3552
data,1241128800000,379;7852;3553
data,1241128800000,379;4382;3554
data,1241128800000,380;9;3554
data,1241128800000,380;5552;3555
data,1241128800000,380;4477;3555
data,1241128800000,380;7085;3556
data,1241128800000,380;11065;3557
data,1241128800000,380;7643;3557
data,1241128800000,380;1088;3557
data,1241128800000,380;4138;3557
data,1241128800000,380;11093;3558
data,1241128800000,380;1449;3559
data,1241128800000,380;343;3559
data,1241128800000,380;7620;3559
data,1241128800000,380;7106;3559
data,1241128800000,380;3563;3560
data,1241128800000,380;7328;3560
data,1241128800000,380;12;3561
data,1241128800000,380;4005;3561
data,1241128800000,380;6756;3562
data,1241128800000,380;6740;3563
data,1241128800000,380;2093;3563
data,1241128800000,380;5371;3563
data,1241128800000,380;56;3563
data,1241128800000,380;8563;3563
data,1241128800000,380;8812;3563
data,1241128800000,380;5035;3563
data,1241128800000,380;11387;3563
data,1241128800000,380;543;3563
data,1241128800000,380;8608;3563
