New Run at  07/24/2017 14:48:22
, Time, RandomReward; UniformAdTSReward; 
data,1238536800000,0;18;0
data,1238536800000,0;49;0
data,1238536800000,0;58;0
data,1238536800000,0;77;0
data,1238536800000,0;124;0
data,1241128800000,1;137;0
data,1241128800000,1;158;0
data,1241128800000,1;189;0
data,1241128800000,1;215;0
data,1241128800000,1;233;0
data,1233442800000,1;268;0
data,1233442800000,1;295;0
data,1233442800000,1;304;0
data,1233442800000,1;334;0
data,1235862000000,1;357;0
data,1235862000000,1;371;0
data,1235862000000,1;410;0
data,1246399200000,1;420;0
data,1246399200000,1;446;0
data,1246399200000,1;483;0
data,1249077600000,1;506;0
data,1249077600000,2;515;0
data,1251756000000,2;533;1
data,1251756000000,2;533;2
data,1251756000000,2;596;2
data,1251756000000,2;621;2
data,1254348000000,2;643;2
data,1254348000000,2;655;2
data,1254348000000,2;249;3
data,1257030000000,2;713;3
data,1264978800000,2;720;3
data,1264978800000,2;748;3
data,1264978800000,2;784;3
data,1264978800000,2;794;3
data,1267398000000,2;446;3
data,1267398000000,2;850;3
data,1272664800000,2;873;3
data,1280613600000,2;878;3
data,1280613600000,3;817;3
data,1280613600000,3;925;3
data,1280613600000,3;760;3
data,1283292000000,3;981;3
data,1285884000000,3;991;3
data,1288566000000,3;1002;4
data,1288566000000,3;1031;4
data,1172703600000,3;1066;4
data,1172703600000,3;1082;4
data,1172703600000,3;1107;4
data,1172703600000,3;1115;5
data,1172703600000,3;1148;5
data,1172703600000,3;1179;5
data,1172703600000,3;1195;5
data,1175378400000,3;1213;5
data,1175378400000,3;828;5
data,1175378400000,3;1259;5
data,1175378400000,3;1284;5
data,1177970400000,3;1318;5
data,1177970400000,3;1330;5
data,1177970400000,3;1365;5
data,1177970400000,3;1389;5
data,1180648800000,3;1404;5
data,1180648800000,3;1428;5
data,1180648800000,3;1449;5
data,1180648800000,3;1479;5
data,1180648800000,3;1482;6
data,1180648800000,3;1517;6
data,1180648800000,3;1529;6
data,1180648800000,3;1552;6
data,1180648800000,3;1588;6
data,1180648800000,3;1603;6
data,1183240800000,3;1620;6
data,1185919200000,3;1636;6
data,1188597600000,3;1664;6
data,1188597600000,3;1674;6
data,1188597600000,3;1704;6
data,1191189600000,3;1720;6
data,1191189600000,3;1749;6
data,1191189600000,3;1768;6
data,1191189600000,3;1799;6
data,1191189600000,3;1814;6
data,1191189600000,3;1836;6
data,1191189600000,4;877;6
data,1191189600000,4;1866;7
data,1191189600000,4;1887;8
data,1191189600000,4;1921;8
data,1191189600000,4;1941;8
data,1191189600000,4;1953;8
data,1191189600000,4;1989;8
data,1191189600000,4;2007;8
data,1191189600000,4;2016;8
data,1191189600000,4;436;8
data,1191189600000,4;478;8
data,1191189600000,4;2089;8
data,1193871600000,4;1634;8
data,1193871600000,4;2135;8
data,1196463600000,4;2160;8
