New Run at  07/13/2017 20:06:14
, Time, RandomReward; Master_UniformLCBReward; 
data,1209592800000,6;3500;26
data,1209592800000,6;4349;26
data,1209592800000,6;847;26
data,1209592800000,6;3722;26
data,1209592800000,6;4396;26
data,1209592800000,6;4416;26
data,1209592800000,6;4418;26
data,1209592800000,6;4434;27
data,1209592800000,6;1136;27
data,1209592800000,6;3794;28
data,1209592800000,6;4479;28
data,1209592800000,6;4501;28
data,1209592800000,6;4521;28
data,1209592800000,6;4522;29
data,1209592800000,6;4547;29
data,1209592800000,6;4570;29
data,1209592800000,6;4584;29
data,1209592800000,6;3439;29
data,1209592800000,6;4610;29
data,1209592800000,6;1480;29
data,1209592800000,6;2199;29
data,1209592800000,6;4668;29
data,1209592800000,6;4674;29
data,1209592800000,6;397;29
data,1209592800000,6;3872;29
data,1209592800000,6;111;30
data,1209592800000,6;2724;30
data,1209592800000,6;2415;30
data,1209592800000,6;4776;30
data,1209592800000,6;1183;30
data,1209592800000,6;1964;30
data,1209592800000,6;4830;30
data,1209592800000,6;4840;30
data,1209592800000,6;346;30
data,1209592800000,6;4100;31
data,1209592800000,6;4881;31
data,1209592800000,6;4896;31
data,1209592800000,6;4645;31
data,1209592800000,6;2016;31
data,1212271200000,6;4927;32
data,1285884000000,6;4946;32
data,1291158000000,6;842;32
data,1172703600000,6;4972;32
data,1185919200000,6;4986;32
data,1185919200000,6;3045;32
data,1185919200000,6;5013;32
data,1185919200000,6;5029;32
data,1185919200000,6;935;33
data,1185919200000,6;5075;33
data,1201820400000,6;5086;33
data,1201820400000,6;2832;33
data,1201820400000,6;5119;33
data,1207000800000,6;5129;33
data,1209592800000,6;5149;33
data,1220220000000,6;2454;33
data,1222812000000,6;3196;33
data,1225494000000,6;4840;33
data,1235862000000,6;5200;33
data,1238536800000,6;5225;33
data,1241128800000,6;3280;33
data,1243807200000,6;5248;33
data,1243807200000,6;1331;33
data,1243807200000,6;5287;33
data,1243807200000,6;5303;33
data,1243807200000,6;5305;33
data,1243807200000,6;1437;33
data,1243807200000,6;1285;33
data,1243807200000,6;5353;33
data,1243807200000,6;5364;33
data,1243807200000,6;1605;33
data,1243807200000,6;5393;33
data,1243807200000,6;5400;33
data,1243807200000,6;5414;33
data,1246399200000,6;5430;33
data,1249077600000,6;4024;33
data,1249077600000,6;3266;33
data,1262300400000,6;5479;33
data,1264978800000,6;2199;33
data,1264978800000,6;5501;33
data,1264978800000,6;5513;33
data,1264978800000,6;4416;33
data,1264978800000,6;2043;34
data,1264978800000,6;4048;35
data,1264978800000,6;257;35
data,1264978800000,6;5594;35
data,1264978800000,6;5614;35
data,1264978800000,6;2455;35
data,1264978800000,6;5504;35
data,1264978800000,6;5653;35
data,1264978800000,6;4434;36
data,1264978800000,6;5264;36
data,1264978800000,6;5691;36
data,1264978800000,6;4986;36
data,1264978800000,6;5715;36
data,1264978800000,6;5722;36
data,1264978800000,6;482;36
data,1264978800000,6;5757;36
data,1264978800000,6;4479;36
data,1264978800000,6;5773;36
data,1264978800000,6;5783;37
data,1264978800000,6;5808;37
data,1264978800000,6;4489;37
data,1264978800000,6;5842;37
