New Run at  08/09/2018 10:38:00
, Time, RandomReward; dLinUCB_Likelihood_UniformReward, ClusterID;UserID;dLinUCB_Likelihood_UniformModelUsed,
data,1207000800000,2;2647;11.0,0;4;1
data,1207000800000,2;2661;11.0,0;4;1
data,1207000800000,2;2688;11.0,0;4;1
data,1207000800000,2;2711;11.0,0;4;1
data,1207000800000,2;2743;11.0,0;4;1
data,1207000800000,2;2755;11.0,0;4;1
data,1207000800000,2;2767;11.0,0;4;1
data,1207000800000,2;2793;11.0,0;4;1
data,1207000800000,2;2034;12.0,0;4;1
data,1207000800000,2;2826;12.0,0;4;1
data,1207000800000,2;2832;13.0,0;4;1
data,1207000800000,2;2857;13.0,0;4;1
data,1207000800000,2;2873;14.0,0;4;1
data,1220220000000,2;2906;14.0,0;4;1
data,1228086000000,2;2922;14.0,0;4;1
data,1228086000000,2;2935;15.0,0;4;1
data,1228086000000,2;2964;15.0,0;4;1
data,1228086000000,2;2966;16.0,0;4;1
data,1257030000000,2;2355;17.0,0;4;1
data,1280613600000,2;3006;17.0,0;4;1
data,1280613600000,2;3037;17.0,0;4;1
data,1283292000000,2;3049;17.0,0;4;1
data,1193871600000,2;3070;17.0,0;8;1
data,1193871600000,2;1082;17.0,0;8;1
data,1193871600000,2;1778;17.0,0;8;1
data,1193871600000,2;3129;17.0,0;8;1
data,1193871600000,2;3151;17.0,0;8;1
data,1193871600000,2;1605;17.0,0;8;1
data,1193871600000,2;935;17.0,0;8;1
data,1193871600000,2;1104;17.0,0;8;1
data,1193871600000,2;3228;17.0,0;8;1
data,1193871600000,2;3242;17.0,0;8;1
data,1193871600000,2;3251;17.0,0;8;1
data,1193871600000,2;3280;17.0,0;8;1
data,1193871600000,2;3298;17.0,0;8;1
data,1193871600000,2;208;17.0,0;8;1
data,1193871600000,2;3328;17.0,0;8;1
data,1193871600000,2;3358;17.0,0;8;1
data,1193871600000,2;3363;17.0,0;8;1
data,1193871600000,2;3390;17.0,0;8;1
data,1193871600000,2;3193;17.0,0;8;1
data,1193871600000,2;3423;17.0,0;8;1
data,1193871600000,2;3444;17.0,0;8;1
data,1193871600000,3;3451;17.0,0;8;1
data,1193871600000,3;3475;17.0,0;8;1
data,1193871600000,3;3489;17.0,0;8;1
data,1193871600000,3;3515;17.0,0;8;1
data,1193871600000,3;2346;17.0,0;8;1
data,1193871600000,3;3192;17.0,0;8;1
data,1193871600000,3;3559;17.0,0;8;1
data,1193871600000,3;3590;17.0,0;8;1
data,1193871600000,3;3595;17.0,0;8;1
data,1193871600000,3;572;18.0,0;8;1
data,1193871600000,3;666;18.0,0;8;1
data,1193871600000,3;3228;18.0,0;8;1
data,1193871600000,3;3664;18.0,0;8;1
data,1193871600000,3;3696;18.0,0;8;1
data,1193871600000,3;2826;18.0,0;8;1
data,1193871600000,3;3722;18.0,0;8;1
data,1193871600000,3;3733;18.0,0;8;1
data,1193871600000,3;3749;18.0,0;8;1
data,1193871600000,3;3770;18.0,0;8;1
data,1193871600000,3;3780;18.0,0;8;1
data,1193871600000,3;3794;19.0,0;8;1
data,1193871600000,3;1594;19.0,0;8;1
data,1193871600000,3;3451;19.0,0;8;1
data,1193871600000,3;3857;19.0,0;8;1
data,1193871600000,3;3868;19.0,0;8;1
data,1193871600000,3;3883;19.0,0;8;1
data,1193871600000,3;441;19.0,0;8;1
