New Run at  08/08/2018 22:53:11
, Time, RandomReward; M_LinUCBReward, ClusterID;UserID;M_LinUCBModelUsed,
data,1207000800000,6;2877;12.0,159;4
data,1220220000000,6;2908;12.0,159;4
data,1228086000000,6;2924;12.0,159;4
data,1228086000000,6;2945;12.0,159;4
data,1228086000000,7;2962;12.0,159;4
data,1228086000000,7;2970;12.0,159;4
data,1257030000000,7;2988;12.0,159;4
data,1280613600000,7;3009;12.0,159;4
data,1280613600000,7;3033;12.0,159;4
data,1283292000000,7;1799;12.0,159;4
data,1193871600000,7;3073;12.0,122;8
data,1193871600000,7;3095;12.0,122;8
data,1193871600000,7;3118;12.0,122;8
data,1193871600000,7;3084;12.0,122;8
data,1193871600000,8;3154;12.0,122;8
data,1193871600000,8;3171;12.0,122;8
data,1193871600000,8;3184;12.0,122;8
data,1193871600000,8;92;12.0,122;8
data,1193871600000,8;372;12.0,122;8
data,1193871600000,8;3244;12.0,122;8
data,1193871600000,8;3251;12.0,122;8
data,1193871600000,8;971;12.0,122;8
data,1193871600000,8;3297;12.0,122;8
data,1193871600000,8;3307;12.0,122;8
data,1193871600000,8;3324;12.0,122;8
data,1193871600000,8;3353;12.0,122;8
data,1193871600000,8;3375;12.0,122;8
data,1193871600000,8;3379;12.0,122;8
data,1193871600000,8;975;12.0,122;8
data,1193871600000,8;3428;12.0,122;8
data,1193871600000,8;2543;13.0,122;8
data,1193871600000,8;3450;13.0,122;8
data,1193871600000,8;3472;13.0,122;8
data,1193871600000,8;1792;14.0,122;8
data,1193871600000,8;3516;14.0,122;8
data,1193871600000,8;3523;15.0,122;8
data,1193871600000,8;3545;15.0,122;8
data,1193871600000,8;3558;15.0,122;8
data,1193871600000,8;3579;15.0,122;8
data,1193871600000,9;3594;16.0,122;8
data,1193871600000,10;3620;16.0,122;8
data,1193871600000,10;751;16.0,122;8
data,1193871600000,10;3652;16.0,122;8
data,1193871600000,11;3680;16.0,122;8
data,1193871600000,11;3681;17.0,122;8
data,1193871600000,11;3710;17.0,122;8
data,1193871600000,11;3723;17.0,122;8
data,1193871600000,11;3729;18.0,122;8
data,1193871600000,11;3743;19.0,122;8
data,1193871600000,11;3769;19.0,122;8
data,1193871600000,11;1090;20.0,122;8
data,1193871600000,11;3803;20.0,122;8
data,1193871600000,11;2631;20.0,122;8
data,1193871600000,11;1088;21.0,122;8
data,1193871600000,11;3845;22.0,122;8
data,1193871600000,11;3868;22.0,122;8
data,1193871600000,11;614;22.0,122;8
data,1193871600000,11;3894;22.0,122;8
data,1193871600000,11;3915;22.0,122;8
data,1193871600000,11;3928;23.0,122;8
data,1193871600000,11;1013;23.0,122;8
data,1193871600000,11;2168;23.0,122;8
data,1193871600000,11;3996;23.0,122;8
data,1193871600000,11;4005;23.0,122;8
data,1193871600000,11;3487;23.0,122;8
data,1193871600000,11;4036;24.0,122;8
data,1193871600000,11;4062;24.0,122;8
data,1196463600000,11;4073;24.0,122;8
data,1199142000000,11;1713;25.0,122;8
data,1207000800000,11;4114;25.0,122;8
data,1207000800000,11;4123;25.0,122;8
data,1209592800000,11;4153;25.0,122;8
data,1209592800000,11;4165;25.0,122;8
data,1209592800000,11;4185;25.0,122;8
data,1209592800000,11;4206;25.0,122;8
data,1209592800000,11;4211;25.0,122;8
data,1209592800000,11;4229;25.0,122;8
data,1209592800000,11;3594;26.0,122;8
data,1209592800000,11;4263;26.0,122;8
data,1209592800000,11;4281;26.0,122;8
data,1209592800000,11;2708;26.0,122;8
data,1209592800000,11;4313;26.0,122;8
data,1209592800000,11;4339;26.0,122;8
data,1209592800000,11;4359;26.0,122;8
data,1209592800000,11;717;26.0,122;8
data,1209592800000,11;592;26.0,122;8
data,1209592800000,11;4399;26.0,122;8
data,1209592800000,11;4409;26.0,122;8
data,1209592800000,11;2069;27.0,122;8
data,1209592800000,11;4441;27.0,122;8
data,1209592800000,11;4454;27.0,122;8
data,1209592800000,11;3794;28.0,122;8
data,1209592800000,11;4494;28.0,122;8
data,1209592800000,11;4501;28.0,122;8
data,1209592800000,11;4521;28.0,122;8
