New Run at  07/13/2017 15:50:07
, Time, RandomReward; Master_UniformLCBReward; 
data,1264978800000,14;3904;36
data,1264978800000,14;3919;36
data,1264978800000,14;3933;36
data,1264978800000,14;3003;36
data,1264978800000,14;3963;36
data,1264978800000,14;2425;37
data,1264978800000,14;4005;37
data,1264978800000,14;3099;37
data,1264978800000,14;4033;37
data,1264978800000,14;4045;38
data,1264978800000,14;4085;38
data,1264978800000,14;3148;38
data,1264978800000,14;4113;38
data,1264978800000,14;4134;38
data,1264978800000,14;4135;39
data,1264978800000,14;1868;40
data,1264978800000,14;4178;40
data,1264978800000,14;4190;40
data,1264978800000,14;4213;40
data,1264978800000,14;4234;40
data,1264978800000,14;4238;40
data,1264978800000,14;4268;40
data,1264978800000,14;4275;41
data,1264978800000,14;4268;41
data,1264978800000,14;4320;41
data,1264978800000,14;4324;42
data,1264978800000,14;4355;42
data,1264978800000,14;2093;42
data,1264978800000,14;3317;43
data,1264978800000,14;2297;43
data,1264978800000,14;4004;43
data,1264978800000,14;4419;43
data,1264978800000,14;4430;44
data,1264978800000,14;4443;45
data,1264978800000,14;4458;46
data,1264978800000,14;4475;47
data,1264978800000,14;4495;48
data,1264978800000,14;2828;49
data,1264978800000,14;4531;49
data,1264978800000,14;4545;50
data,1264978800000,14;3200;50
data,1264978800000,14;4583;50
data,1264978800000,14;2077;51
data,1264978800000,14;2286;51
data,1264978800000,14;3090;51
data,1264978800000,14;3797;51
data,1264978800000,14;4656;52
data,1264978800000,14;4676;53
data,1264978800000,14;4690;54
data,1264978800000,14;4705;54
data,1264978800000,14;306;54
data,1264978800000,14;4732;55
data,1264978800000,14;4751;56
data,1264978800000,14;2241;57
data,1264978800000,14;4780;58
data,1264978800000,14;4812;58
data,1264978800000,14;4813;58
data,1264978800000,14;2317;58
data,1264978800000,14;4531;58
data,1264978800000,14;3377;58
data,1264978800000,14;4876;58
data,1264978800000,14;4891;58
data,1264978800000,14;4914;58
data,1264978800000,14;4915;59
data,1264978800000,14;1236;60
data,1264978800000,14;4948;60
data,1264978800000,14;2713;61
data,1264978800000,14;4972;62
data,1264978800000,14;4410;62
data,1264978800000,14;5007;63
data,1264978800000,14;3124;63
data,1264978800000,14;2529;64
data,1264978800000,14;729;64
data,1264978800000,14;5064;65
data,1264978800000,14;5080;66
data,1264978800000,14;3099;66
data,1264978800000,14;5114;66
data,1264978800000,14;5126;67
data,1264978800000,14;5145;67
data,1264978800000,14;5166;67
data,1264978800000,14;4521;67
data,1264978800000,14;5186;68
data,1264978800000,14;5207;68
data,1264978800000,14;5225;68
data,1264978800000,15;5245;68
data,1264978800000,15;5247;69
data,1264978800000,15;3469;69
data,1264978800000,15;916;69
data,1264978800000,15;310;69
data,1264978800000,15;5301;70
data,1264978800000,16;5322;70
data,1264978800000,16;4382;70
data,1264978800000,17;4287;70
data,1264978800000,17;5378;70
data,1264978800000,17;5379;71
data,1264978800000,17;5405;71
data,1264978800000,17;2789;72
data,1264978800000,18;3963;72
data,1264978800000,18;5450;72
data,1264978800000,18;5460;72
data,1264978800000,18;458;72
data,1264978800000,19;266;72
data,1264978800000,19;2093;72
data,1264978800000,19;5529;72
data,1264978800000,19;5535;72
data,1264978800000,19;4023;72
data,1264978800000,19;2286;72
data,1264978800000,19;5571;73
data,1264978800000,19;5588;74
data,1264978800000,19;5602;74
data,1264978800000,19;49;74
data,1264978800000,19;5642;74
data,1264978800000,19;5655;74
data,1264978800000,19;5658;75
data,1264978800000,19;5668;76
data,1264978800000,19;27;76
data,1264978800000,19;97;76
data,1264978800000,19;2646;77
data,1264978800000,19;556;78
data,1264978800000,19;410;78
data,1264978800000,19;5752;78
data,1264978800000,19;5768;78
data,1267398000000,19;5769;79
data,1267398000000,19;5256;79
data,1267398000000,19;327;79
data,1267398000000,19;4737;79
data,1267398000000,19;11;80
data,1267398000000,19;593;80
data,1267398000000,20;2889;81
data,1267398000000,20;477;81
data,1267398000000,20;4972;82
data,1267398000000,20;995;83
data,1267398000000,20;4704;83
data,1267398000000,20;4104;83
data,1270072800000,20;5915;84
data,1270072800000,20;1657;84
data,1272664800000,21;5948;84
data,1272664800000,21;3045;85
data,1272664800000,21;3963;85
data,1272664800000,21;2087;85
data,1272664800000,21;548;85
data,1272664800000,21;3768;85
data,1272664800000,22;4887;85
data,1272664800000,22;6047;86
data,1272664800000,22;1062;86
data,1272664800000,22;6077;86
data,1272664800000,22;6093;86
data,1272664800000,22;125;86
data,1272664800000,22;1101;87
data,1272664800000,22;6136;87
data,1272664800000,22;6139;87
data,1272664800000,22;6150;87
data,1272664800000,22;24;87
data,1272664800000,22;5792;87
data,1272664800000,22;6188;87
data,1272664800000,22;2527;87
data,1272664800000,22;6220;87
data,1272664800000,22;5256;87
data,1272664800000,22;6246;87
data,1272664800000,22;6257;87
data,1272664800000,22;1317;87
data,1272664800000,22;6285;87
data,1272664800000,22;1704;88
data,1272664800000,22;6302;88
data,1272664800000,22;1083;89
data,1272664800000,22;6323;90
data,1275343200000,23;3290;90
data,1275343200000,23;6353;90
data,1277935200000,23;1696;91
data,1277935200000,23;6381;91
data,1280613600000,23;6403;91
data,1280613600000,23;5166;91
data,1280613600000,23;6422;92
data,1280613600000,23;4715;92
data,1280613600000,23;6449;93
data,1280613600000,23;6459;93
data,1280613600000,23;6470;94
data,1280613600000,23;6482;95
data,1280613600000,23;6492;96
data,1280613600000,23;6504;97
data,1280613600000,23;2120;98
data,1280613600000,23;6536;98
data,1280613600000,23;5450;98
data,1280613600000,23;6561;99
data,1283292000000,23;6588;99
data,1285884000000,23;4887;99
data,1285884000000,23;6604;99
data,1285884000000,23;6615;100
data,1285884000000,23;6625;101
data,1285884000000,23;6636;102
data,1285884000000,23;1836;103
data,1285884000000,23;6656;104
data,1285884000000,23;669;104
data,1285884000000,23;2716;104
data,1285884000000,23;6692;105
data,1285884000000,23;6702;105
data,1285884000000,23;6714;106
data,1285884000000,23;918;106
data,1285884000000,23;6736;106
data,1285884000000,23;6547;106
data,1285884000000,23;541;107
data,1288566000000,23;869;107
data,1288566000000,23;6777;108
data,1288566000000,23;6788;109
data,1288566000000,23;3065;109
data,1288566000000,23;6819;109
data,1288566000000,23;6831;109
data,1288566000000,23;6839;110
data,1288566000000,23;2681;111
data,1291158000000,23;3818;111
data,1291158000000,23;6874;112
data,1291158000000,23;6889;112
data,1291158000000,23;6904;112
data,1291158000000,23;483;113
data,1291158000000,23;6929;113
data,1291158000000,23;2608;113
data,1291158000000,23;6950;113
data,1291158000000,23;6449;114
data,1291158000000,23;3184;114
data,1291158000000,23;3231;115
data,1291158000000,23;6996;116
data,1291158000000,23;3748;116
data,1291158000000,23;7031;116
data,1291158000000,24;371;116
data,1291158000000,24;4920;116
data,1291158000000,25;7058;117
data,1291158000000,25;7074;117
data,1291158000000,25;2355;118
data,1291158000000,25;7110;118
data,1291158000000,25;7111;119
data,1293836400000,25;7122;120
data,1293836400000,25;7144;120
data,1293836400000,25;7155;120
data,1293836400000,25;7160;121
data,1293836400000,25;7111;122
data,1293836400000,25;7183;122
data,1293836400000,25;7196;122
data,1293836400000,25;327;122
data,1293836400000,25;7211;123
data,1293836400000,25;7232;123
data,1293836400000,25;2706;123
data,1293836400000,25;7246;124
data,1293836400000,25;7260;124
data,1293836400000,25;6908;124
data,1293836400000,25;7278;124
data,1293836400000,25;1901;124
data,1293836400000,25;2380;124
data,1293836400000,26;1322;124
data,1293836400000,26;5048;124
data,1296514800000,26;899;124
data,1296514800000,26;6302;124
data,1298934000000,26;3438;124
data,1298934000000,26;7351;124
data,1298934000000,26;7363;125
data,1298934000000,26;7378;125
data,1304596135526,26;7391;125
data,1212271200000,26;7399;125
data,1212271200000,26;7410;125
data,1212271200000,26;5338;125
data,1212271200000,26;7356;125
data,1212271200000,26;7438;125
data,1212271200000,26;7456;125
data,1212271200000,26;766;125
data,1212271200000,26;7483;125
data,1212271200000,26;7487;125
data,1212271200000,26;7410;125
data,1212271200000,26;2976;125
data,1212271200000,26;7511;126
data,1212271200000,26;6301;126
data,1212271200000,27;7531;126
data,1212271200000,27;7160;126
data,1212271200000,27;7548;126
data,1212271200000,27;6077;126
data,1212271200000,27;7570;126
data,1212271200000,27;7149;126
data,1212271200000,27;4495;126
data,1212271200000,27;4236;126
data,1212271200000,27;6921;126
data,1212271200000,27;4645;126
data,1212271200000,27;5922;126
data,1212271200000,27;4010;126
data,1212271200000,27;4237;126
data,1212271200000,27;7356;126
data,1212271200000,27;6302;126
data,1212271200000,27;4237;126
data,1212271200000,27;669;126
data,1212271200000,27;5782;126
data,1212271200000,27;7696;126
data,1212271200000,28;7706;126
data,1212271200000,28;7127;126
data,1212271200000,28;993;126
data,1212271200000,28;7725;126
data,1212271200000,28;5186;126
data,1212271200000,28;1139;126
data,1212271200000,28;7759;126
data,1212271200000,28;7771;126
data,1212271200000,28;7777;126
data,1212271200000,28;4324;126
data,1212271200000,28;1211;126
data,1212271200000,28;6673;126
data,1212271200000,28;2565;126
data,1212271200000,28;2097;126
data,1212271200000,28;7833;126
data,1214863200000,28;7852;126
data,1214863200000,28;5391;126
data,1214863200000,28;5114;126
data,1214863200000,28;3902;126
data,1214863200000,28;7886;126
data,1217541600000,28;5581;126
data,1217541600000,28;6996;126
data,1217541600000,28;2336;126
data,1217541600000,28;6381;126
data,1217541600000,28;3345;127
data,1217541600000,28;1836;127
data,1217541600000,28;6604;127
data,1217541600000,28;7802;127
data,1217541600000,28;4323;127
data,1217541600000,28;3398;127
data,1217541600000,28;5643;127
data,1217541600000,28;4368;127
data,1217541600000,28;6400;127
data,1217541600000,29;5656;127
data,1217541600000,29;8024;127
data,1217541600000,29;865;127
data,1217541600000,29;8045;127
data,1217541600000,29;3466;127
data,1217541600000,29;4425;127
data,1217541600000,29;8079;127
data,1217541600000,29;5104;127
data,1217541600000,29;1563;127
data,1217541600000,29;8101;127
data,1217541600000,29;3320;127
data,1217541600000,29;3823;127
data,1217541600000,29;8126;127
data,1217541600000,29;7030;127
data,1217541600000,29;2965;127
data,1217541600000,29;1168;127
data,1217541600000,29;4875;127
data,1217541600000,29;5828;127
data,1217541600000,29;890;127
data,1217541600000,29;1563;127
data,1217541600000,29;4279;127
data,1217541600000,29;8196;127
data,1217541600000,29;4324;127
data,1217541600000,29;2689;127
data,1217541600000,29;8235;127
data,1217541600000,29;5256;127
data,1217541600000,29;7410;127
data,1217541600000,29;8259;127
data,1217541600000,29;8267;127
data,1217541600000,29;8275;127
data,1217541600000,29;1483;127
data,1217541600000,30;8299;127
data,1217541600000,30;5170;127
data,1217541600000,30;8317;127
data,1217541600000,30;8332;127
data,1217541600000,30;3312;127
data,1217541600000,30;7058;127
data,1217541600000,30;8360;127
data,1217541600000,30;696;127
data,1217541600000,30;154;127
data,1217541600000,30;8399;127
data,1217541600000,30;5064;127
data,1217541600000,30;6302;127
data,1217541600000,30;3403;127
data,1217541600000,30;8431;127
data,1217541600000,30;4891;127
data,1220220000000,30;2989;127
data,1304596176284,30;8457;127
data,1304596177553,30;8461;127
data,1304596187726,30;8470;127
data,1304596191912,30;4430;127
data,1304596194417,30;7148;127
data,1304596197640,30;8494;127
data,1304596214214,30;2583;127
data,1304596215240,31;3312;127
data,1304596223989,31;8518;127
data,1304596226144,31;8527;127
data,1209592800000,31;8534;127
data,1209592800000,31;1856;127
data,1209592800000,31;3045;127
data,1209592800000,31;1586;127
data,1212271200000,31;7777;127
data,1214863200000,31;8567;127
data,1222812000000,31;7531;127
data,1228086000000,31;7438;127
data,1228086000000,31;7527;127
data,1275343200000,31;8457;128
data,1275343200000,31;2423;128
data,1277935200000,31;8299;128
data,1277935200000,31;3797;128
data,1277935200000,31;7257;128
data,1277935200000,32;8640;128
data,1277935200000,32;8648;129
data,1277935200000,32;6208;129
data,1277935200000,32;8665;129
data,1280613600000,32;5922;129
data,1280613600000,32;2355;129
data,1280613600000,32;7737;129
data,1280613600000,32;8696;129
data,1285884000000,32;8115;129
data,1285884000000,32;3398;129
data,1285884000000,32;5948;129
data,1285884000000,32;995;130
data,1285884000000,32;825;130
data,1285884000000,32;6302;130
data,1285884000000,32;1101;130
data,1285884000000,32;2373;130
data,1285884000000,32;8759;130
data,1285884000000,32;2360;130
data,1285884000000,32;556;130
data,1285884000000,32;1634;130
data,1285884000000,32;3125;130
data,1285884000000,33;3149;130
data,1285884000000,33;8794;130
data,1285884000000,34;8796;131
data,1285884000000,34;8816;131
data,1285884000000,34;7147;131
data,1285884000000,34;3401;131
data,1285884000000,34;1676;132
data,1285884000000,34;778;132
data,1285884000000,34;4932;132
data,1288566000000,34;8859;132
data,1288566000000,34;8863;132
data,1288566000000,34;8869;132
data,1288566000000,34;4237;132
data,1288566000000,34;4643;132
data,1288566000000,34;179;132
data,1288566000000,34;6636;133
data,1288566000000,34;8816;133
data,1288566000000,34;2425;133
data,1291158000000,34;6470;133
data,1291158000000,34;7363;133
data,1291158000000,34;8920;133
data,1291158000000,34;3099;133
data,1291158000000,34;5720;133
data,1293836400000,34;5256;133
data,1293836400000,34;8959;133
data,1296514800000,34;1317;133
data,1296514800000,34;8976;133
data,1298934000000,34;8983;133
data,1304596239074,35;8148;133
data,1304596242695,35;7823;133
data,1304596260969,35;9006;133
data,1304596272248,35;8470;133
data,1304596273351,35;5876;133
data,1283292000000,35;9028;133
data,1283292000000,35;6505;133
data,1283292000000,35;6929;133
data,1283292000000,35;9046;133
data,1283292000000,35;345;133
data,1291158000000,35;9064;133
data,1291158000000,35;4430;133
data,1291158000000,35;6179;133
data,1291158000000,35;6673;133
data,1291158000000,35;3265;133
data,1291158000000,35;9100;133
data,1293836400000,35;516;134
data,1293836400000,35;5859;134
data,1293836400000,35;516;135
data,1296514800000,35;4969;135
data,1296514800000,35;9136;135
data,1296514800000,35;245;136
data,1296514800000,35;4135;136
data,1296514800000,35;8666;136
data,1296514800000,36;8435;137
data,1296514800000,36;4958;138
data,1296514800000,37;8435;139
data,1296514800000,37;3103;140
data,1296514800000,37;1744;140
data,1296514800000,37;201;140
data,1296514800000,37;9190;140
data,1296514800000,37;516;141
data,1296514800000,37;1016;142
data,1296514800000,37;9180;143
data,1296514800000,37;9217;143
data,1296514800000,37;9219;143
data,1296514800000,37;8517;143
data,1296514800000,37;131;144
data,1296514800000,37;8435;145
data,1296514800000,37;3149;145
data,1296514800000,37;9082;146
data,1296514800000,37;7735;146
data,1296514800000,37;1397;146
data,1296514800000,37;5101;146
data,1296514800000,37;4958;147
data,1296514800000,37;6709;147
data,1296514800000,37;131;148
data,1296514800000,37;9284;148
data,1296514800000,37;516;149
data,1296514800000,37;516;150
data,1296514800000,37;245;151
data,1296514800000,37;5470;152
data,1296514800000,37;168;153
data,1298934000000,37;8435;154
data,1298934000000,37;8567;154
data,1298934000000,37;8435;155
data,1298934000000,37;6999;156
data,1298934000000,37;9000;156
data,1298934000000,37;516;157
data,1298934000000,37;2927;157
data,1298934000000,37;5851;158
data,1298934000000,37;7735;158
data,1298934000000,37;9370;158
data,1298934000000,37;1565;158
data,1298934000000,37;8435;159
