New Run at  07/24/2017 14:49:10
, Time, RandomReward; UniformAdTSReward; 
data,1264978800000,8;3905;8
data,1264978800000,8;3913;8
data,1264978800000,8;3927;8
data,1264978800000,8;3093;9
data,1264978800000,8;3974;9
data,1264978800000,8;3980;9
data,1264978800000,8;1572;10
data,1264978800000,8;3099;10
data,1264978800000,8;2483;10
data,1264978800000,8;4049;10
data,1264978800000,8;4073;10
data,1264978800000,8;323;11
data,1264978800000,8;4108;11
data,1264978800000,9;4119;12
data,1264978800000,9;3094;12
data,1264978800000,9;3140;12
data,1264978800000,9;4176;12
data,1264978800000,9;4194;12
data,1264978800000,9;3537;13
data,1264978800000,9;3245;14
data,1264978800000,9;4258;14
data,1264978800000,9;4271;14
data,1264978800000,9;4286;14
data,1264978800000,10;4301;14
data,1264978800000,10;4322;14
data,1264978800000,11;3119;14
data,1264978800000,11;4339;15
data,1264978800000,11;69;15
data,1264978800000,11;3154;15
data,1264978800000,11;3230;15
data,1264978800000,11;2049;15
data,1264978800000,11;4415;15
data,1264978800000,11;4430;16
data,1264978800000,11;4455;16
data,1264978800000,11;4458;17
data,1264978800000,11;2751;17
data,1264978800000,11;945;17
data,1264978800000,11;2828;18
data,1264978800000,11;4543;18
data,1264978800000,11;2815;18
data,1264978800000,11;3200;18
data,1264978800000,11;4583;18
data,1264978800000,11;2077;19
data,1264978800000,11;2286;19
data,1264978800000,11;4622;19
data,1264978800000,11;3797;19
data,1264978800000,11;4656;20
data,1264978800000,11;4686;20
data,1264978800000,11;4690;21
data,1264978800000,11;4705;21
data,1264978800000,11;2889;22
data,1264978800000,11;4742;22
data,1264978800000,11;4751;23
data,1264978800000,11;2241;24
data,1264978800000,11;4780;25
data,1264978800000,12;4796;25
data,1264978800000,12;4814;25
data,1264978800000,12;2317;25
data,1264978800000,12;942;25
data,1264978800000,12;3377;25
data,1264978800000,12;4876;25
data,1264978800000,13;4891;25
data,1264978800000,13;4902;25
data,1264978800000,13;4915;26
data,1264978800000,13;4933;26
data,1264978800000,13;4948;26
data,1264978800000,13;4962;26
data,1264978800000,13;1695;26
data,1264978800000,13;4991;26
data,1264978800000,13;2136;26
data,1264978800000,13;776;26
data,1264978800000,13;5048;26
data,1264978800000,13;5058;26
data,1264978800000,13;5064;27
data,1264978800000,13;719;27
data,1264978800000,13;3099;27
data,1264978800000,13;2524;27
data,1264978800000,13;5134;27
data,1264978800000,13;3636;28
data,1264978800000,13;5164;28
data,1264978800000,13;1831;28
data,1264978800000,13;1597;28
data,1264978800000,13;3747;28
data,1264978800000,13;2867;29
data,1264978800000,13;5245;29
data,1264978800000,13;5247;30
data,1264978800000,14;4456;30
data,1264978800000,14;1972;30
data,1264978800000,14;3354;30
data,1264978800000,14;5307;30
data,1264978800000,14;5326;30
data,1264978800000,14;3135;30
data,1264978800000,14;5354;30
data,1264978800000,14;5378;30
data,1264978800000,14;5385;30
data,1264978800000,14;5405;30
data,1264978800000,14;2789;31
data,1264978800000,14;3963;31
data,1264978800000,14;5450;31
data,1264978800000,14;5460;31
data,1264978800000,14;458;31
data,1264978800000,14;5490;31
data,1264978800000,14;2093;31
data,1264978800000,14;5518;31
data,1264978800000,14;5540;31
data,1264978800000,14;4023;31
data,1264978800000,14;2286;31
data,1264978800000,14;5432;31
data,1264978800000,14;352;31
data,1264978800000,14;3045;32
data,1264978800000,14;5518;32
data,1264978800000,14;3818;32
data,1264978800000,14;5655;32
data,1264978800000,14;5661;32
data,1264978800000,14;5677;32
data,1264978800000,15;3278;32
data,1264978800000,15;5689;33
data,1264978800000,15;2646;34
data,1264978800000,15;556;35
data,1264978800000,15;5732;35
data,1264978800000,15;2538;36
data,1264978800000,15;5767;36
data,1267398000000,15;5769;37
